alpha,expectedWelfare,expectedPayment,expectedRevenue,ros
0.500000,16.666667,4.166667,12.500000,4.000000
0.505000,16.833333,4.250417,12.582917,3.960396
0.510000,17.000000,4.335000,12.665000,3.921569
0.515000,17.166667,4.420417,12.746250,3.883495
0.520000,17.333333,4.506667,12.826667,3.846154
0.525000,17.500000,4.593750,12.906250,3.809524
0.530000,17.666667,4.681667,12.985000,3.773585
0.535000,17.833333,4.770417,13.062917,3.738318
0.540000,18.000000,4.860000,13.140000,3.703704
0.545000,18.166667,4.950417,13.216250,3.669725
0.550000,18.333333,5.041667,13.291667,3.636364
0.555000,18.500000,5.133750,13.366250,3.603604
0.560000,18.666667,5.226667,13.440000,3.571429
0.565000,18.833333,5.320417,13.512917,3.539823
0.570000,19.000000,5.415000,13.585000,3.508772
0.575000,19.166667,5.510417,13.656250,3.478261
0.580000,19.333333,5.606667,13.726667,3.448276
0.585000,19.500000,5.703750,13.796250,3.418803
0.590000,19.666667,5.801667,13.865000,3.389831
0.595000,19.833333,5.900417,13.932917,3.361345
0.600000,20.000000,6.000000,14.000000,3.333333
0.605000,20.166667,6.100417,14.066250,3.305785
0.610000,20.333333,6.201667,14.131667,3.278689
0.615000,20.500000,6.303750,14.196250,3.252033
0.620000,20.666667,6.406667,14.260000,3.225806
0.625000,20.833333,6.510417,14.322917,3.200000
0.630000,21.000000,6.615000,14.385000,3.174603
0.635000,21.166667,6.720417,14.446250,3.149606
0.640000,21.333333,6.826667,14.506667,3.125000
0.645000,21.500000,6.933750,14.566250,3.100775
0.650000,21.666667,7.041667,14.625000,3.076923
0.655000,21.833333,7.150417,14.682917,3.053435
0.660000,22.000000,7.260000,14.740000,3.030303
0.665000,22.166667,7.370417,14.796250,3.007519
0.670000,22.333333,7.481667,14.851667,2.985075
0.675000,22.500000,7.593750,14.906250,2.962963
0.680000,22.666667,7.706667,14.960000,2.941176
0.685000,22.833333,7.820417,15.012917,2.919708
0.690000,23.000000,7.935000,15.065000,2.898551
0.695000,23.166667,8.050417,15.116250,2.877698
0.700000,23.333333,8.166667,15.166667,2.857143
0.705000,23.500000,8.283750,15.216250,2.836879
0.710000,23.666667,8.401667,15.265000,2.816901
0.715000,23.833333,8.520417,15.312917,2.797203
0.720000,24.000000,8.640000,15.360000,2.777778
0.725000,24.166667,8.760417,15.406250,2.758621
0.730000,24.333333,8.881667,15.451667,2.739726
0.735000,24.500000,9.003750,15.496250,2.721088
0.740000,24.666667,9.126667,15.540000,2.702703
0.745000,24.833333,9.250417,15.582917,2.684564
0.750000,25.000000,9.375000,15.625000,2.666667
0.755000,25.166667,9.500417,15.666250,2.649007
0.760000,25.333333,9.626667,15.706667,2.631579
0.765000,25.500000,9.753750,15.746250,2.614379
0.770000,25.666667,9.881667,15.785000,2.597403
0.775000,25.833333,10.010417,15.822917,2.580645
0.780000,26.000000,10.140000,15.860000,2.564103
0.785000,26.166667,10.270417,15.896250,2.547771
0.790000,26.333333,10.401667,15.931667,2.531646
0.795000,26.500000,10.533750,15.966250,2.515723
0.800000,26.666667,10.666667,16.000000,2.500000
0.805000,26.833333,10.800417,16.032917,2.484472
0.810000,27.000000,10.935000,16.065000,2.469136
0.815000,27.166667,11.070417,16.096250,2.453988
0.820000,27.333333,11.206667,16.126667,2.439024
0.825000,27.500000,11.343750,16.156250,2.424242
0.830000,27.666667,11.481667,16.185000,2.409639
0.835000,27.833333,11.620417,16.212917,2.395210
0.840000,28.000000,11.760000,16.240000,2.380952
0.845000,28.166667,11.900417,16.266250,2.366864
0.850000,28.333333,12.041667,16.291667,2.352941
0.855000,28.500000,12.183750,16.316250,2.339181
0.860000,28.666667,12.326667,16.340000,2.325581
0.865000,28.833333,12.470417,16.362917,2.312139
0.870000,29.000000,12.615000,16.385000,2.298851
0.875000,29.166667,12.760417,16.406250,2.285714
0.880000,29.333333,12.906667,16.426667,2.272727
0.885000,29.500000,13.053750,16.446250,2.259887
0.890000,29.666667,13.201667,16.465000,2.247191
0.895000,29.833333,13.350417,16.482917,2.234637
0.900000,30.000000,13.500000,16.500000,2.222222
0.905000,30.166667,13.650417,16.516250,2.209945
0.910000,30.333333,13.801667,16.531667,2.197802
0.915000,30.500000,13.953750,16.546250,2.185792
0.920000,30.666667,14.106667,16.560000,2.173913
0.925000,30.833333,14.260417,16.572917,2.162162
0.930000,31.000000,14.415000,16.585000,2.150538
0.935000,31.166667,14.570417,16.596250,2.139037
0.940000,31.333333,14.726667,16.606667,2.127660
0.945000,31.500000,14.883750,16.616250,2.116402
0.950000,31.666667,15.041667,16.625000,2.105263
0.955000,31.833333,15.200417,16.632917,2.094241
0.960000,32.000000,15.360000,16.640000,2.083333
0.965000,32.166667,15.520417,16.646250,2.072539
0.970000,32.333333,15.681667,16.651667,2.061856
0.975000,32.500000,15.843750,16.656250,2.051282
0.980000,32.666667,16.006667,16.660000,2.040816
0.985000,32.833333,16.170417,16.662917,2.030457
0.990000,33.000000,16.335000,16.665000,2.020202
0.995000,33.166667,16.500417,16.666250,2.010050
1.000000,33.333333,16.666667,16.666667,2.000000
1.005000,33.498758,16.832504,16.666254,1.990123
1.010000,33.661733,16.996700,16.665033,1.980486
1.015000,33.822304,17.159278,16.663027,1.971080
1.020000,33.980520,17.320261,16.660259,1.961894
1.025000,34.136427,17.479675,16.656752,1.952921
1.030000,34.290068,17.637540,16.652528,1.944152
1.035000,34.441488,17.793881,16.647607,1.935580
1.040000,34.590730,17.948718,16.642012,1.927198
1.045000,34.737834,18.102073,16.635761,1.918998
1.050000,34.882842,18.253968,16.628874,1.910973
1.055000,35.025793,18.404423,16.621370,1.903118
1.060000,35.166726,18.553459,16.613267,1.895427
1.065000,35.305679,18.701095,16.604583,1.887894
1.070000,35.442688,18.847352,16.595336,1.880513
1.075000,35.577790,18.992248,16.585542,1.873280
1.080000,35.711020,19.135802,16.575217,1.866189
1.085000,35.842412,19.278034,16.564378,1.859236
1.090000,35.972000,19.418960,16.553040,1.852416
1.095000,36.099817,19.558600,16.541218,1.845726
1.100000,36.225895,19.696970,16.528926,1.839161
1.105000,36.350266,19.834087,16.516178,1.832717
1.110000,36.472959,19.969970,16.502989,1.826390
